"ID";"Sex";"Regions";"Periods";"PopulationOn1January_1"
"21059";"T001038";"GM0509";"2019JJ00";""
"21119";"T001038";"GM0780";"2019JJ00";""
"21179";"T001038";"GM0236";"2019JJ00";""
"21239";"T001038";"GM0781";"2019JJ00";""
"21299";"T001038";"GM1771";"2019JJ00";"   39595"
"21359";"T001038";"GM0906";"2019JJ00";""
"21419";"T001038";"GM0782";"2019JJ00";""
"21479";"T001038";"GM1652";"2019JJ00";"   30447"
"21539";"T001038";"GM0237";"2019JJ00";""
"21599";"T001038";"GM0238";"2019JJ00";""
"21659";"T001038";"GM0154";"2019JJ00";""
"21719";"T001038";"GM0907";"2019JJ00";"   17071"
"21779";"T001038";"GM0908";"2019JJ00";""
"21839";"T001038";"GM0783";"2019JJ00";""
"21899";"T001038";"GM0510";"2019JJ00";""
"21959";"T001038";"GM0689";"2019JJ00";""
"22019";"T001038";"GM0116";"2019JJ00";""
"22079";"T001038";"GM0155";"2019JJ00";""
"22139";"T001038";"GM0784";"2019JJ00";"   26431"
"22199";"T001038";"GM0511";"2019JJ00";""
"22259";"T001038";"GM1924";"2019JJ00";"   49611"
"22319";"T001038";"GM0664";"2019JJ00";"   37653"
"22379";"T001038";"GM0785";"2019JJ00";"   23793"
"22439";"T001038";"GM1942";"2019JJ00";"   57715"
"22499";"T001038";"GM0156";"2019JJ00";""
"22559";"T001038";"GM0512";"2019JJ00";"   36682"
"22619";"T001038";"GM0239";"2019JJ00";""
"22679";"T001038";"GM0513";"2019JJ00";"   73181"
"22739";"T001038";"GM0514";"2019JJ00";""
"22799";"T001038";"GM0515";"2019JJ00";""
"22859";"T001038";"GM0516";"2019JJ00";""
"22919";"T001038";"GM0693";"2019JJ00";""
"22979";"T001038";"GM0665";"2019JJ00";""
"23039";"T001038";"GM0389";"2019JJ00";""
"23099";"T001038";"GM0365";"2019JJ00";""
"23159";"T001038";"GM0157";"2019JJ00";""
"23219";"T001038";"GM0909";"2019JJ00";""
"23279";"T001038";"GM0786";"2019JJ00";"   12483"
"23339";"T001038";"GM0390";"2019JJ00";""
"23399";"T001038";"GM0517";"2019JJ00";""
